Carimbo de data/hora;Primeiro, poderia nos dizer qual seu interesse academico;Qual sua idade;Com qual genero voce se identifica;Em qual regiao do Brasil voce mora;Quais redes sociais voce mais utiliza;Quais canais de noticia voce costuma acessar;Nos momentos de lazer o que voce gosta de fazer;Que tipo de entretenimento voce mais consome;Dentro do cenario politico em que vivemos  qual sua posicao em relacao ao atual governo;Em que momento voce se encontra como estudante;Como e sua rotina enquanto estudante;Qual curso voce pretende estudar;Como voce se prepara para o vestibular;Qual o envolvimento dos seus pais durante sua preparac’o para o vestibular;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao renomada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao publica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao privada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao atualizada com o mercado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser gratuita ou ter um preco acessivel;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter atividades complementares na grade de ensino;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter programas de intercŸmbio;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de bolsas de estudo e estagio interno;Quais das seguintes atividades seriam do seu interesse enquanto estudante de Graduacao;Quanto a localizacao da instituicao o que voce considera importante;Pensando em estudar longe de casa  quais beneficios e atrativos uma cidade precisa ter;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes
8/23/2019 18:19:02;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Cursando um pre-vestibular;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares;Engenharia Medicina;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Eles me ajudam financeiramente nos estudos Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;5;3;2;5;5;5;5;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Vida noturna agitada Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Televisao Sites e blogs
8/23/2019 18:28:12;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Centro-Oeste;Facebook Messenger (Facebook) Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Radio Busco tudo no Google;Praticar alguma atividade fisica e/ou esportiva Passear com meu cachorro ;Musica Jogos Esportes Programas de Radio;"Sou contra e discordo das decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Participo de grupos estudantis Faco atividades complementares;Outro curso de exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;3;5;3;;5;5;4;5;5;2;4;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo;Estar localizada na cidade em que eu moro Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade Vida noturna agitada Opcoes de lazer e cultura;Facebook E-mail Radio Transporte publico (onibus trem metro etc) midia impressa (revistas jornais panfletos etc) Sites e blogs
8/23/2019 18:33:16;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Instagram Youtube Whatsapp TED;Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia;Musica Eletronica ;Prefiro nao opinar sobre isso.;Cursando o ensino medio;Faco o basico para conseguir aprovacao Estudo mais para os vestibulares;Engenharia;Estudo em casa por conta propria Faco provas que simulam o vestibular;Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Conversando com parentes Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;4;3;4;5;5;4;5;3;5;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar dentro de uma cidade pequena e sossegada Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Instagram E-mail midia impressa (revistas jornais panfletos etc) Sites e blogs
8/23/2019 18:45:10;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:47:27;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:57:54;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:58:34;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Norte;Facebook;Televisao;Ficar em casa vendo series filmes jogando estudando etc;Musica;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando um supletivo;Dedico bastante tempo aos estudos;Medicina;Faco um curso pre-vestibular;Estao constantemente me orientando quanto a cursos e instituicoes;Assistindo videos no Youtube;1;;;;;;;;;;;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;Facebook
8/23/2019 18:59:15;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia;Musica Jogos Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Faco o basico para conseguir aprovacao;Engenharia;Faco um curso pre-vestibular;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;4;5;4;5;4;4;4;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Baixo custo de vida;Facebook Youtube E-mail Televisao Sites e blogs
8/23/2019 19:48:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 19:57:39;Estou buscando um curso de Graduacao;Mais de 40 anos;Masculino;Sudeste;Youtube;Televisao;Ficar em casa vendo series filmes jogando estudando etc;Musica;Prefiro nao opinar sobre isso.;;Faco o basico para conseguir aprovacao;Medicina;Assisto videoaulas em sites pagos;Meus pais nao se envolvem;Fazendo uma busca no Google;5;5;3;3;5;5;5;5;;5;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Sites e blogs
8/23/2019 20:22:15;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 20:47:45;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 21:06:53;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Sudeste;Facebook Instagram Whatsapp Linkedin;Busco tudo no Google;Praticar alguma atividade fisica e/ou esportiva;Redes Sociais;Prefiro nao opinar sobre isso.;Conclui o ensino medio mas estou sem estudar a algum tempo;Faco o basico para conseguir aprovacao Participo de grupos estudantis Faco atividades complementares;Engenharia;Estudo em casa por conta propria;Meus pais nao se envolvem;Conversando com amigos Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;2;5;1;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar dentro de uma cidade pequena e sossegada;Baixo indice de violencia;Facebook Instagram E-mail midia impressa (revistas jornais panfletos etc)
8/23/2019 22:18:23;Estou buscando um curso de Graduacao;De 31 a 40 anos;Feminino;Norte;Facebook Messenger (Facebook) Youtube Whatsapp Gugo;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Blogs e Foruns Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Series Filmes Redes Sociais Novelas;Prefiro nao opinar sobre isso.;Conclui o ensino medio mas estou sem estudar a algum tempo;Faco o basico para conseguir aprovacao;Medicina Direito;Estudo em casa por conta propria;Meus pais nao se envolvem;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao;;1;;1;1;1;1;1;1;1;1;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Baixo custo de vida;Facebook Youtube Grupos de Whatsapp E-mail Televisao Transporte publico (onibus trem metro etc) midia impressa (revistas jornais panfletos etc) Sites e blogs
8/23/2019 22:26:16;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 22:54:20;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Radio Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Redes Sociais;"Sou contra e discordo das decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico pouco tempo aos estudos;Engenharia;Faco um curso pre-vestibular Estudo em casa por conta propria Assisto videoaulas no Youtube;Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;5;5;5;5;5;5;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura;Facebook Instagram Youtube E-mail Televisao Transporte publico (onibus trem metro etc) Sites e blogs
8/23/2019 23:36:18;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 23:47:34;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:06:23;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando um pre-vestibular;Dedico bastante tempo aos estudos;Engenharia;Faco um curso pre-vestibular Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Vendo a avaliacao da instituicao no site do MEC;5;2;2;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar dentro de uma cidade grande e movimentada Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube
8/24/2019 0:14:47;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Jogos Filmes Redes Sociais Novelas;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico pouco tempo aos estudos nao costumo estudar Fico a maior parte do tempo na escola;Outro curso de exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Estao constantemente me orientando quanto a cursos e instituicoes Querem decidir meu curso;Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;5;5;1;1;2;1;4;1;1;1;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Opcoes de lazer e cultura Baixo custo de vida;Todos
8/24/2019 0:24:28;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:39:17;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:44:37;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:44:47;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:53:52;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Youtube Whatsapp Twitter;Sites: G1 R7 Folha etc Blogs e Foruns Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Series Filmes Podcasts Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando um pre-vestibular;Dedico pouco tempo aos estudos;Engenharia;Faco um curso pre-vestibular Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Meus pais nao se envolvem;Assistindo videos no Youtube Fazendo uma busca no Google Acessando o site da propria instituicao;3;3;3;5;1;5;5;5;5;5;;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Youtube E-mail
8/24/2019 1:23:14;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Norte;Facebook Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Esportes Filmes Igreja ;Prefiro nao opinar sobre isso.;Primeira graduacao ;Dedico bastante tempo aos estudos;Engenharia Outro curso de exatas;nao me preparo para o vestibular;Meus pais nao se envolvem;Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;5;4;5;5;5;5;5;5;5;5;Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro nao estar muito longe da minha familia nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia;Sites e blogs
8/24/2019 2:29:25;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Youtube Whatsapp;Sites: G1 R7 Folha etc;Ficar em casa vendo series filmes jogando estudando etc Frequentar museus galerias e espacos culturais;Musica Series Filmes Podcasts;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Faco atividades complementares;Engenharia;Estudo em casa por conta propria Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;1;3;5;5;5;5;5;5;5;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade pequena e sossegada Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Youtube E-mail Televisao Sites e blogs
8/24/2019 5:41:59;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 11:03:29;Estou buscando um curso de Graduacao;De 18 a 20 anos;Feminino;Sudeste;Whatsapp;Televisao;Encontrar meus amigos e colocar o papo em dia;Musica Esportes Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos Atuo em projetos de iniciacao cientifica;Engenharia;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Apoiam minha escolha de curso;Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;3;3;4;5;5;4;4;4;3;4;Empreendedorismo Diretorio Academico - DA (Representa os estudantes de um determinado curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Baixo custo de vida;Sites e blogs
8/24/2019 11:46:32;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 12:03:53;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 12:35:27;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 13:43:59;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 14:01:03;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 14:50:56;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 15:19:38;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 15:27:56;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 18:40:01;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 23:55:37;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc;Jogos Series Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos;Engenharia;Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Conversando com meus pais Conversando com amigos Conversando com parentes Acessando o site da propria instituicao;5;3;3;5;3;5;5;5;3;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Associacao Atletica;Estar localizada numa cidade com baixo custo de vida nao tenho restricoes quanto a localizacao;Baixo indice de violencia Baixo custo de vida;E-mail Sites e blogs
8/25/2019 8:10:26;Estou buscando um curso de Graduacao;Menos de 18 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Youtube Whatsapp;Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos;Engenharia;Estudo em casa por conta propria Assisto videoaulas no Youtube;Estao constantemente me orientando quanto a cursos e instituicoes Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso Meus pais nao se envolvem;Acessando o site da propria instituicao;5;5;5;5;5;5;5;5;3;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook E-mail Televisao Sites e blogs
8/25/2019 10:48:38;Estou buscando um curso de Graduacao;Menos de 18 anos;Feminino;Sudeste;Instagram Whatsapp Twitter;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Jogos Series Filmes Redes Sociais;"Sou contra e discordo das decisoes que estao sendo tomadas;";Cursando o ensino medio;Faco atividades complementares;Outro curso de humanas;Faco um curso pre-vestibular;Meus pais nao se envolvem;Assistindo videos no Youtube Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;5;5;4;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo;Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Instagram
8/25/2019 11:03:13;Estou buscando um curso de Graduacao;Mais de 40 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Filmes Redes Sociais;"Sou contra e discordo das decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Dedico bastante tempo aos estudos Faco atividades complementares Atuo em projetos de iniciacao cientifica;Engenharia;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Apoiam minha escolha de curso;Conversando com amigos;5;5;5;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar dentro de uma cidade pequena e sossegada Estar localizada numa cidade com baixo custo de vida;Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp E-mail
8/25/2019 11:34:15;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 11:39:25;Estou buscando um curso de Graduacao;Menos de 18 anos;Feminino;Sudeste;Facebook Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Series Filmes Redes Sociais Blogs;Prefiro nao opinar sobre isso.;Cursando o ensino medio;Dedico pouco tempo aos estudos;Engenharia;Faco um curso pre-vestibular Assisto videoaulas no Youtube;Meus pais nao se envolvem;Assistindo videos no Youtube Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao;3;1;1;5;;3;3;4;4;3;4;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia;Facebook Sites e blogs
8/25/2019 17:06:31;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 20:37:26;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Nordeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Radio;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Faco atividades complementares;Outro curso de exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Meus pais nao se envolvem;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;5;3;4;5;5;5;5;5;5;4;4;Empreendedorismo;Estar localizada na cidade em que eu moro;Baixo custo de vida;Facebook Instagram Sites e blogs
8/25/2019 20:45:26;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
